date,snapshot_date,membership_code
2001-03-30,2001-03-30,ENRNQ
2001-03-30,2001-03-30,FMCC
2001-03-30,2001-03-30,FNMA
2001-03-30,2001-03-30,INCLF
2001-03-30,2001-03-30,LEHMQ
2001-03-30,2001-03-30,MTLQQ
2001-03-30,2001-03-30,RDS.A
2001-03-30,2001-03-30,RSHCQ
2001-03-30,2001-03-30,UAWGQ
2001-03-30,2001-03-30,VSTNQ
2001-03-30,2001-03-30,WAMUQ
2001-03-30,2001-03-30,WCOEQ
2001-03-30,2001-03-30,WNDXQ
2001-04-30,2001-04-20,AABA
2001-04-30,2001-04-20,AAMRQ
2001-04-30,2001-04-20,ABKFQ
2001-04-30,2001-04-20,AZA.A
2001-04-30,2001-04-20,BF.B
2001-04-30,2001-04-20,CCTYQ
2001-04-30,2001-04-20,CIT.A
2001-04-30,2001-04-20,COC.B
2001-04-30,2001-04-20,CPNLQ
2001-04-30,2001-04-20,DALRQ
2001-04-30,2001-04-20,DCNAQ
2001-04-30,2001-04-20,DPHIQ
2001-04-30,2001-04-20,EKDKQ
2001-04-30,2001-04-20,ENRNQ
2001-04-30,2001-04-20,FMCC
2001-04-30,2001-04-20,FNMA
2001-04-30,2001-04-20,INCLF
2001-04-30,2001-04-20,LEHMQ
2001-04-30,2001-04-20,MTLQQ
2001-04-30,2001-04-20,RDS.A
2001-04-30,2001-04-20,RSHCQ
2001-04-30,2001-04-20,UAWGQ
2001-04-30,2001-04-20,VSTNQ
2001-04-30,2001-04-20,WAMUQ
2001-04-30,2001-04-20,WCOEQ
2001-04-30,2001-04-20,WNDXQ
2001-05-31,2001-05-31,AABA
2001-05-31,2001-05-31,AAMRQ
2001-05-31,2001-05-31,ABKFQ
2001-05-31,2001-05-31,AZA.A
2001-05-31,2001-05-31,BF.B
2001-05-31,2001-05-31,CCTYQ
2001-05-31,2001-05-31,CIT.A
2001-05-31,2001-05-31,COC.B
2001-05-31,2001-05-31,CPNLQ
2001-05-31,2001-05-31,DALRQ
2001-05-31,2001-05-31,DCNAQ
2001-05-31,2001-05-31,DPHIQ
2001-05-31,2001-05-31,EKDKQ
2001-05-31,2001-05-31,ENRNQ
2001-05-31,2001-05-31,FMCC
2001-05-31,2001-05-31,FNMA
2001-05-31,2001-05-31,INCLF
2001-05-31,2001-05-31,LEHMQ
2001-05-31,2001-05-31,MTLQQ
2001-05-31,2001-05-31,RDS.A
2001-05-31,2001-05-31,RSHCQ
2001-05-31,2001-05-31,UAWGQ
2001-05-31,2001-05-31,VSTNQ
2001-05-31,2001-05-31,WAMUQ
2001-05-31,2001-05-31,WCOEQ
2001-05-31,2001-05-31,WNDXQ
2001-06-29,2001-06-29,AABA
2001-06-29,2001-06-29,AAMRQ
2001-06-29,2001-06-29,ABKFQ
2001-06-29,2001-06-29,BF.B
2001-06-29,2001-06-29,CCTYQ
2001-06-29,2001-06-29,COC.B
2001-06-29,2001-06-29,CPNLQ
2001-06-29,2001-06-29,DALRQ
2001-06-29,2001-06-29,DCNAQ
2001-06-29,2001-06-29,DPHIQ
2001-06-29,2001-06-29,EKDKQ
2001-06-29,2001-06-29,ENRNQ
2001-06-29,2001-06-29,FMCC
2001-06-29,2001-06-29,FNMA
2001-06-29,2001-06-29,INCLF
2001-06-29,2001-06-29,LEHMQ
2001-06-29,2001-06-29,MTLQQ
2001-06-29,2001-06-29,RDS.A
2001-06-29,2001-06-29,RSHCQ
2001-06-29,2001-06-29,UAWGQ
2001-06-29,2001-06-29,VSTNQ
2001-06-29,2001-06-29,WAMUQ
2001-06-29,2001-06-29,WCOEQ
2001-06-29,2001-06-29,WNDXQ
2001-07-31,2001-07-31,AABA
2001-07-31,2001-07-31,AAMRQ
2001-07-31,2001-07-31,ABKFQ
2001-07-31,2001-07-31,BF.B
2001-07-31,2001-07-31,CCTYQ
2001-07-31,2001-07-31,COC.B
2001-07-31,2001-07-31,CPNLQ
2001-07-31,2001-07-31,DALRQ
2001-07-31,2001-07-31,DCNAQ
2001-07-31,2001-07-31,DPHIQ
2001-07-31,2001-07-31,EKDKQ
2001-07-31,2001-07-31,ENRNQ
2001-07-31,2001-07-31,FMCC
2001-07-31,2001-07-31,FNMA
2001-07-31,2001-07-31,INCLF
2001-07-31,2001-07-31,LEHMQ
2001-07-31,2001-07-31,MTLQQ
2001-07-31,2001-07-31,RDS.A
2001-07-31,2001-07-31,RSHCQ
2001-07-31,2001-07-31,UAWGQ
2001-07-31,2001-07-31,VSTNQ
2001-07-31,2001-07-31,WAMUQ
2001-07-31,2001-07-31,WCOEQ
2001-07-31,2001-07-31,WNDXQ
2001-08-31,2001-08-31,AABA
2001-08-31,2001-08-31,AAMRQ
2001-08-31,2001-08-31,ABKFQ
2001-08-31,2001-08-31,BF.B
2001-08-31,2001-08-31,CCTYQ
2001-08-31,2001-08-31,COC.B
2001-08-31,2001-08-31,CPNLQ
2001-08-31,2001-08-31,DALRQ
2001-08-31,2001-08-31,DCNAQ
2001-08-31,2001-08-31,DPHIQ
2001-08-31,2001-08-31,EKDKQ
2001-08-31,2001-08-31,ENRNQ
2001-08-31,2001-08-31,FMCC
2001-08-31,2001-08-31,FNMA
2001-08-31,2001-08-31,INCLF
2001-08-31,2001-08-31,LEHMQ
2001-08-31,2001-08-31,MTLQQ
2001-08-31,2001-08-31,RDS.A
2001-08-31,2001-08-31,RSHCQ
2001-08-31,2001-08-31,UAWGQ
2001-08-31,2001-08-31,VSTNQ
2001-08-31,2001-08-31,WAMUQ
2001-08-31,2001-08-31,WCOEQ
2001-08-31,2001-08-31,WNDXQ
2001-09-28,2001-09-26,AABA
2001-09-28,2001-09-26,AAMRQ
2001-09-28,2001-09-26,ABKFQ
2001-09-28,2001-09-26,BF.B
2001-09-28,2001-09-26,CCTYQ
2001-09-28,2001-09-26,COC.B
2001-09-28,2001-09-26,CPNLQ
2001-09-28,2001-09-26,DALRQ
2001-09-28,2001-09-26,DCNAQ
2001-09-28,2001-09-26,DPHIQ
2001-09-28,2001-09-26,EKDKQ
2001-09-28,2001-09-26,ENRNQ
2001-09-28,2001-09-26,FMCC
2001-09-28,2001-09-26,FNMA
2001-09-28,2001-09-26,INCLF
2001-09-28,2001-09-26,LEHMQ
2001-09-28,2001-09-26,MTLQQ
2001-09-28,2001-09-26,RDS.A
2001-09-28,2001-09-26,RSHCQ
2001-09-28,2001-09-26,UAWGQ
2001-09-28,2001-09-26,VSTNQ
2001-09-28,2001-09-26,WAMUQ
2001-09-28,2001-09-26,WCOEQ
2001-09-28,2001-09-26,WNDXQ
2001-10-31,2001-10-24,AABA
2001-10-31,2001-10-24,AAMRQ
2001-10-31,2001-10-24,ABKFQ
2001-10-31,2001-10-24,BF.B
2001-10-31,2001-10-24,CCTYQ
2001-10-31,2001-10-24,COC.B
2001-10-31,2001-10-24,CPNLQ
2001-10-31,2001-10-24,DALRQ
2001-10-31,2001-10-24,DCNAQ
2001-10-31,2001-10-24,DPHIQ
